,registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,city,insurance,transmission_type,owner_type,fuel_type,body_type,Date,erro_previsao,reclamacoes,previsao,lucro,prejuizo
31,2019,1197,28438,80.0,5.0,18.0,7.59,34,6.905900000000002,Hyderabad,Zero Dep,Manual,Second Owner,Petrol,Hatchback,2023-01-01 20:58:32.167918828,0.6840999999999982,com_reclamacao,-0.6840999999999982,,-0.6840999999999982
32,2019,1462,68796,100.0,7.0,20.0,9.0,35,9.5684,Bangalore,Comprehensive,Manual,First Owner,Petrol,MUV,2023-01-01 21:39:08.044303307,0.5684000000000005,com_reclamacao,0.5684000000000005,0.5684000000000005,
33,2017,1197,40356,80.0,5.0,22.0,7.12,36,6.983199999999999,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-01 22:19:43.920687785,0.13680000000000092,sem_reclamacao,-0.13680000000000092,,-0.13680000000000092
34,2016,2987,100000,250.0,7.0,12.0,32.5,37,37.067,Delhi,Comprehensive,Automatic,Second Owner,Diesel,SUV,2023-01-01 23:00:19.797072263,4.567,com_reclamacao,4.567,4.567,
35,2022,1197,30000,80.0,5.0,20.0,7.5,39,7.5521,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback,2023-01-01 23:40:55.673456742,0.05210000000000026,sem_reclamacao,0.05210000000000026,0.05210000000000026,
36,2013,1248,55544,70.0,5.0,22.0,4.54,40,4.462700000000003,Bangalore,Third Party,Manual,Second Owner,Diesel,Hatchback,2023-01-02 00:21:31.549841220,0.0772999999999966,sem_reclamacao,-0.0772999999999966,,-0.0772999999999966
37,2013,2143,120000,170.0,5.0,14.0,7.5,41,8.169499999999998,Pune,Third Party insurance,Automatic,Third Owner,Diesel,Sedan,2023-01-02 01:02:07.426225699,0.6694999999999975,com_reclamacao,0.6694999999999975,0.6694999999999975,
38,2022,799,14811,50.0,5.0,20.0,4.08,42,4.1298999999999975,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-02 01:42:43.302610177,0.04989999999999739,sem_reclamacao,0.04989999999999739,0.04989999999999739,
39,2022,1497,5500,110.0,5.0,18.0,11.25,43,11.7957,Kolkata,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-02 02:23:19.178994655,0.5457000000000001,com_reclamacao,0.5457000000000001,0.5457000000000001,
40,2014,1499,50219,110.0,5.0,16.0,4.08,44,4.022699999999997,Delhi,Third Party,Manual,First Owner,Petrol,SUV,2023-01-02 03:03:55.055379134,0.05730000000000324,sem_reclamacao,-0.05730000000000324,,-0.05730000000000324
41,2021,1199,14127,120.0,5.0,18.0,9.15,45,9.726099999999992,Bangalore,Comprehensive,Automatic,Second Owner,Petrol,SUV,2023-01-02 03:44:30.931763612,0.5760999999999914,com_reclamacao,0.5760999999999914,0.5760999999999914,
42,2017,1196,40000,90.0,5.0,18.0,4.5,46,4.4174,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-02 04:25:06.808148090,0.08260000000000023,sem_reclamacao,-0.08260000000000023,,-0.08260000000000023
43,2010,995,80000,60.0,5.0,16.0,0.85,47,0.9829999999999984,Ahmedabad,Third Party insurance,Manual,Third Owner,Petrol,Hatchback,2023-01-02 05:05:42.684532569,0.13299999999999845,sem_reclamacao,0.13299999999999845,0.13299999999999845,
44,2016,1199,69425,90.0,5.0,18.0,5.5,48,5.434100000000002,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-02 05:46:18.560917047,0.0658999999999983,sem_reclamacao,-0.0658999999999983,,-0.0658999999999983
45,2017,1591,30000,120.0,5.0,16.0,9.21,49,9.336100000000007,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,Sedan,2023-01-02 06:26:54.437301525,0.12610000000000632,sem_reclamacao,0.12610000000000632,0.12610000000000632,
46,2019,1497,33000,120.0,5.0,14.0,9.0,50,9.3651,Bangalore,Comprehensive,Automatic,Second Owner,Petrol,SUV,2023-01-02 07:07:30.313686004,0.3651,sem_reclamacao,0.3651,0.3651,
47,2017,1591,23750,120.0,5.0,18.0,8.0,52,7.9976,Mumbai,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-02 07:48:06.190070482,0.0023999999999997357,sem_reclamacao,-0.0023999999999997357,,-0.0023999999999997357
48,2014,1591,100000,120.0,5.0,16.0,4.0,53,4.2835,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan,2023-01-02 08:28:42.066454960,0.2835000000000001,sem_reclamacao,0.2835000000000001,0.2835000000000001,
49,2011,1991,80000,150.0,5.0,18.0,2.5,54,2.6043000000000007,Delhi,Third Party insurance,Manual,Second Owner,Diesel,Sedan,2023-01-02 09:09:17.942839439,0.10430000000000073,sem_reclamacao,0.10430000000000073,0.10430000000000073,
50,2011,1497,63000,120.0,5.0,16.0,2.95,55,3.076399999999996,Mumbai,Comprehensive,Automatic,Second Owner,Petrol,Sedan,2023-01-02 09:49:53.819223917,0.12639999999999585,sem_reclamacao,0.12639999999999585,0.12639999999999585,
51,2018,1999,51620,180.0,5.0,16.0,34.0,56,36.9635,Kolkata,Third Party,Automatic,Second Owner,Diesel,SUV,2023-01-02 10:30:29.695608395,2.9635000000000034,com_reclamacao,2.9635000000000034,2.9635000000000034,
52,2011,998,60014,70.0,5.0,18.0,2.75,57,2.4793000000000003,Chennai,Third Party insurance,Manual,Second Owner,Petrol,Hatchback,2023-01-02 11:11:05.571992874,0.2706999999999997,sem_reclamacao,-0.2706999999999997,,-0.2706999999999997
53,2014,1498,90000,100.0,7.0,24.0,5.5,58,5.4198,Ahmedabad,Comprehensive,Manual,First Owner,Diesel,MUV,2023-01-02 11:51:41.448377352,0.0801999999999996,sem_reclamacao,-0.0801999999999996,,-0.0801999999999996
54,2020,2199,42885,200.0,7.0,14.0,29.75,59,30.0651,Bangalore,Zero Dep,Automatic,First Owner,Diesel,MUV,2023-01-02 12:32:17.324761830,0.31510000000000105,sem_reclamacao,0.31510000000000105,0.31510000000000105,
55,2021,1199,38323,120.0,5.0,16.0,10.25,60,10.589999999999996,Jaipur,Comprehensive,Automatic,First Owner,Petrol,SUV,2023-01-02 13:12:53.201146309,0.3399999999999963,sem_reclamacao,0.3399999999999963,0.3399999999999963,
56,2012,1197,70000,80.0,5.0,20.0,2.75,61,2.5914,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback,2023-01-02 13:53:29.077530787,0.15859999999999985,sem_reclamacao,-0.15859999999999985,,-0.15859999999999985
57,2021,796,10000,50.0,5.0,22.0,3.9,62,3.9514999999999953,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-02 14:34:04.953915266,0.05149999999999544,sem_reclamacao,0.05149999999999544,0.05149999999999544,
58,2011,1598,120000,100.0,5.0,16.0,2.5,63,2.6791,Mumbai,Third Party insurance,Manual,Second Owner,Petrol,Sedan,2023-01-02 15:14:40.830299744,0.17910000000000004,sem_reclamacao,0.17910000000000004,0.17910000000000004,
59,2012,1591,120000,120.0,5.0,18.0,3.4,64,3.6038999999999977,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-02 15:55:16.706684222,0.20389999999999775,sem_reclamacao,0.20389999999999775,0.20389999999999775,
60,2015,1497,41585,120.0,5.0,18.0,5.94,65,5.959200000000002,Mumbai,Comprehensive,Manual,First Owner,Petrol,Sedan,2023-01-02 16:35:52.583068701,0.019200000000001438,sem_reclamacao,0.019200000000001438,0.019200000000001438,
61,2014,998,80000,70.0,5.0,24.0,2.5,66,2.811099999999999,Chandigarh,Third Party insurance,Automatic,Fifth Owner,Petrol,Hatchback,2023-01-02 17:16:28.459453179,0.3110999999999988,sem_reclamacao,0.3110999999999988,0.3110999999999988,
62,2021,999,20537,70.0,5.0,20.0,6.43,67,6.4506000000000006,Ahmedabad,Third Party,Manual,Second Owner,Petrol,SUV,2023-01-02 17:57:04.335837657,0.02060000000000084,sem_reclamacao,0.02060000000000084,0.02060000000000084,
63,2018,1194,54813,90.0,5.0,20.0,5.77,68,5.7279999999999935,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback,2023-01-02 18:37:40.212222136,0.04200000000000603,sem_reclamacao,-0.04200000000000603,,-0.04200000000000603
64,2021,998,30000,120.0,5.0,18.0,10.2,69,10.03660000000001,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,SUV,2023-01-02 19:18:16.088606614,0.16339999999998867,sem_reclamacao,-0.16339999999998867,,-0.16339999999998867
65,2014,1198,64000,90.0,5.0,18.0,3.3,70,3.4835000000000043,Ahmedabad,Third Party insurance,Manual,Second Owner,Petrol,Sedan,2023-01-02 19:58:51.964991092,0.18350000000000444,sem_reclamacao,0.18350000000000444,0.18350000000000444,
66,2009,1248,120000,80.0,5.0,18.0,2.5,71,2.3754934000000008,Hyderabad,Third Party insurance,Manual,Second Owner,Diesel,Hatchback,2023-01-02 20:39:27.841375571,0.12450659999999925,sem_reclamacao,-0.12450659999999925,,-0.12450659999999925
67,2016,1497,70000,120.0,5.0,18.0,6.6,72,6.519500000000006,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan,2023-01-02 21:20:03.717760049,0.08049999999999358,sem_reclamacao,-0.08049999999999358,,-0.08049999999999358
68,2021,998,6000,120.0,5.0,20.0,8.75,73,9.244599999999998,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback,2023-01-02 22:00:39.594144527,0.4945999999999984,sem_reclamacao,0.4945999999999984,0.4945999999999984,
69,2019,1498,60000,100.0,5.0,26.0,5.9,74,6.852599999999992,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,Sedan,2023-01-02 22:41:15.470529006,0.9525999999999915,com_reclamacao,0.9525999999999915,0.9525999999999915,
70,2018,1197,74325,80.0,5.0,22.0,6.7,75,6.258100000000001,Pune,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-02 23:21:51.346913484,0.4418999999999995,sem_reclamacao,-0.4418999999999995,,-0.4418999999999995
71,2017,1582,110000,130.0,5.0,20.0,8.5,76,8.998199999999999,Chennai,Third Party insurance,Manual,First Owner,Diesel,SUV,2023-01-03 00:02:27.223297962,0.49819999999999887,sem_reclamacao,0.49819999999999887,0.49819999999999887,
72,2013,1199,80000,70.0,5.0,22.0,3.4,78,3.28,Delhi,Third Party insurance,Manual,First Owner,Diesel,Hatchback,2023-01-03 00:43:03.099682441,0.1200000000000001,sem_reclamacao,-0.1200000000000001,,-0.1200000000000001
73,2012,998,71713,60.0,5.0,26.0,2.43,79,2.445000000000004,Gurgaon,Comprehensive,Manual,First Owner,CNG,Hatchback,2023-01-03 01:23:38.976066919,0.015000000000003677,sem_reclamacao,0.015000000000003677,0.015000000000003677,
74,2010,1198,100000,80.0,5.0,18.0,1.05,80,1.3662999999999987,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback,2023-01-03 02:04:14.852451398,0.3162999999999987,sem_reclamacao,0.3162999999999987,0.3162999999999987,
75,2015,1197,62223,90.0,5.0,22.0,5.06,82,5.124899999999999,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback,2023-01-03 02:44:50.728835876,0.06489999999999974,sem_reclamacao,0.06489999999999974,0.06489999999999974,
76,2018,1497,109357,110.0,5.0,22.0,8.42,83,8.200899999999992,Mumbai,Comprehensive,Automatic,First Owner,Diesel,SUV,2023-01-03 03:25:26.605220354,0.21910000000000807,sem_reclamacao,-0.21910000000000807,,-0.21910000000000807
77,2021,999,24317,70.0,7.0,20.0,7.0,84,7.085699999999999,Bangalore,Not Available,Manual,First Owner,Petrol,MUV,2023-01-03 04:06:02.481604833,0.08569999999999922,sem_reclamacao,0.08569999999999922,0.08569999999999922,
78,2017,1197,54024,80.0,5.0,22.0,5.75,85,5.877099999999998,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-03 04:46:38.357989311,0.12709999999999777,sem_reclamacao,0.12709999999999777,0.12709999999999777,
79,2014,1197,42776,90.0,5.0,22.0,4.64,86,4.486999999999995,Ahmedabad,Comprehensive,Manual,First Owner,Petrol,Sedan,2023-01-03 05:27:14.234373789,0.1530000000000049,sem_reclamacao,-0.1530000000000049,,-0.1530000000000049
80,2022,998,1962,60.0,5.0,34.0,5.58,87,5.779399999999998,Chandigarh,Comprehensive,Manual,First Owner,CNG,Hatchback,2023-01-03 06:07:50.110758268,0.19939999999999802,sem_reclamacao,0.19939999999999802,0.19939999999999802,
81,2014,1462,18866,100.0,7.0,20.0,6.47,88,7.64520000000001,Gurgaon,Comprehensive,Manual,First Owner,Petrol,MUV,2023-01-03 06:48:25.987142746,1.17520000000001,com_reclamacao,1.17520000000001,1.17520000000001,
82,2017,1497,60000,120.0,5.0,18.0,7.25,89,7.6474,Chennai,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-03 07:29:01.863527224,0.3974000000000002,sem_reclamacao,0.3974000000000002,0.3974000000000002,
83,2019,796,88667,50.0,5.0,32.0,3.9,90,3.902599999999997,Mumbai,Comprehensive,Manual,First Owner,CNG,Hatchback,2023-01-03 08:09:37.739911703,0.002599999999997049,sem_reclamacao,0.002599999999997049,0.002599999999997049,
84,2018,2393,50000,150.0,7.0,14.0,20.5,91,19.37,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,MUV,2023-01-03 08:50:13.616296181,1.129999999999999,com_reclamacao,-1.129999999999999,,-1.129999999999999
85,2021,999,31754,70.0,5.0,22.0,4.73,92,4.714500000000005,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-03 09:30:49.492680659,0.01549999999999585,sem_reclamacao,-0.01549999999999585,,-0.01549999999999585
86,2013,2179,70000,190.0,5.0,16.0,17.5,93,17.1705,Hyderabad,Third Party insurance,Automatic,First Owner,Diesel,Sedan,2023-01-03 10:11:25.369065138,0.32949999999999946,sem_reclamacao,-0.32949999999999946,,-0.32949999999999946
87,2019,1497,30000,120.0,5.0,18.0,10.25,94,10.0056,Delhi,Comprehensive,Automatic,First Owner,Petrol,Sedan,2023-01-03 10:52:01.245449616,0.24440000000000062,sem_reclamacao,-0.24440000000000062,,-0.24440000000000062
88,2014,1498,60000,100.0,5.0,26.0,3.2,95,3.858799999999994,Delhi,Third Party insurance,Manual,First Owner,Diesel,Sedan,2023-01-03 11:32:37.121834094,0.6587999999999936,com_reclamacao,0.6587999999999936,0.6587999999999936,
89,2020,1497,66590,120.0,8.0,18.0,11.0,96,10.9715,Hyderabad,Comprehensive,Manual,First Owner,Diesel,MUV,2023-01-03 12:13:12.998218573,0.028499999999999304,sem_reclamacao,-0.028499999999999304,,-0.028499999999999304
90,2019,1198,23394,110.0,5.0,16.0,9.17,97,9.400899999999986,Gurgaon,Third Party,Automatic,First Owner,Petrol,SUV,2023-01-03 12:53:48.874603051,0.2308999999999859,sem_reclamacao,0.2308999999999859,0.2308999999999859,
91,2019,1197,51193,80.0,5.0,22.0,5.38,98,5.443599999999996,Chandigarh,Third Party insurance,Manual,First Owner,Petrol,Hatchback,2023-01-03 13:34:24.750987530,0.06359999999999655,sem_reclamacao,0.06359999999999655,0.06359999999999655,
92,2013,1197,92285,90.0,5.0,18.0,4.31,99,4.0729000000000015,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-03 14:15:00.627372008,0.2370999999999981,sem_reclamacao,-0.2370999999999981,,-0.2370999999999981
93,2014,1198,96966,70.0,5.0,16.0,2.45,100,2.8568999999999978,Lucknow,Not Available,Manual,First Owner,Petrol,Hatchback,2023-01-03 14:55:36.503756486,0.4068999999999976,sem_reclamacao,0.4068999999999976,0.4068999999999976,
94,2010,1298,62259,90.0,5.0,18.0,2.31,101,2.1357000000000013,Mumbai,Third Party,Manual,Second Owner,Petrol,Sedan,2023-01-03 15:36:12.380140965,0.1742999999999988,sem_reclamacao,-0.1742999999999988,,-0.1742999999999988
95,2017,1199,29594,80.0,5.0,24.0,4.98,102,5.163400000000005,Chennai,Comprehensive,Automatic,First Owner,Petrol,Hatchback,2023-01-03 16:16:48.256525443,0.18340000000000423,sem_reclamacao,0.18340000000000423,0.18340000000000423,
96,2011,1799,70000,130.0,5.0,14.0,3.5,103,3.2141,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan,2023-01-03 16:57:24.132909921,0.2858999999999998,sem_reclamacao,-0.2858999999999998,,-0.2858999999999998
97,2017,1197,31600,80.0,5.0,18.0,4.65,104,4.790299999999995,Gurgaon,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-03 17:38:00.009294400,0.14029999999999454,sem_reclamacao,0.14029999999999454,0.14029999999999454,
98,2019,1498,42354,100.0,5.0,24.0,9.52,105,9.035799999999991,Pune,Third Party,Manual,First Owner,Diesel,SUV,2023-01-03 18:18:35.885678878,0.4842000000000084,sem_reclamacao,-0.4842000000000084,,-0.4842000000000084
99,2017,1199,60000,80.0,5.0,20.0,4.5,106,4.658799999999999,Pune,Third Party insurance,Manual,Second Owner,Petrol,Sedan,2023-01-03 18:59:11.762063356,0.15879999999999939,sem_reclamacao,0.15879999999999939,0.15879999999999939,
100,2019,2179,30000,150.0,7.0,16.0,16.0,107,15.725400000000002,Gurgaon,Third Party insurance,Automatic,First Owner,Diesel,SUV,2023-01-03 19:39:47.638447835,0.27459999999999773,sem_reclamacao,-0.27459999999999773,,-0.27459999999999773
101,2014,1248,79000,70.0,5.0,22.0,4.8,108,4.498600000000005,Mumbai,Comprehensive,Manual,Second Owner,Diesel,Hatchback,2023-01-03 20:20:23.514832313,0.3013999999999948,sem_reclamacao,-0.3013999999999948,,-0.3013999999999948
102,2016,998,27887,70.0,5.0,24.0,5.0,109,4.752,Pune,Comprehensive,Automatic,First Owner,Petrol,Hatchback,2023-01-03 21:00:59.391216791,0.24800000000000022,sem_reclamacao,-0.24800000000000022,,-0.24800000000000022
103,2015,1248,80000,70.0,5.0,24.0,2.0,110,3.0518,Chennai,Third Party insurance,Manual,Third Owner,Diesel,Hatchback,2023-01-03 21:41:35.267601270,1.0518,com_reclamacao,1.0518,1.0518,
104,2017,1248,65275,90.0,5.0,24.0,6.92,111,7.0697999999999945,Mumbai,Comprehensive,Manual,Second Owner,Diesel,SUV,2023-01-03 22:22:11.143985748,0.1497999999999946,sem_reclamacao,0.1497999999999946,0.1497999999999946,
105,2019,2393,50000,150.0,7.0,14.0,17.0,112,17.539800000000003,Delhi,Third Party insurance,Manual,First Owner,Diesel,MUV,2023-01-03 23:02:47.020370226,0.5398000000000032,com_reclamacao,0.5398000000000032,0.5398000000000032,
106,2018,1199,29640,90.0,5.0,18.0,7.6,113,7.41480000000001,Chennai,Third Party insurance,Manual,First Owner,Petrol,SUV,2023-01-03 23:43:22.896754705,0.18519999999998937,sem_reclamacao,-0.18519999999998937,,-0.18519999999998937
107,2012,1396,86873,90.0,5.0,22.0,4.85,114,4.293500000000003,Bangalore,Third Party insurance,Manual,First Owner,Diesel,Hatchback,2023-01-04 00:23:58.773139183,0.5564999999999962,com_reclamacao,-0.5564999999999962,,-0.5564999999999962
108,2018,998,79000,70.0,5.0,24.0,3.49,115,3.760700000000005,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-04 01:04:34.649523661,0.2707000000000046,sem_reclamacao,0.2707000000000046,0.2707000000000046,
109,2019,1198,30000,110.0,5.0,16.0,7.1,116,7.71310000000001,Jaipur,Third Party insurance,Manual,First Owner,Petrol,SUV,2023-01-04 01:45:10.525908140,0.61310000000001,com_reclamacao,0.61310000000001,0.61310000000001,
110,2011,1086,49500,70.0,5.0,20.0,2.45,117,2.409499999999997,Hyderabad,Not Available,Manual,First Owner,Petrol,Hatchback,2023-01-04 02:25:46.402292618,0.04050000000000331,sem_reclamacao,-0.04050000000000331,,-0.04050000000000331
111,2021,998,20000,60.0,5.0,32.0,5.5,119,5.5707,Gurgaon,Third Party insurance,Manual,First Owner,CNG,Hatchback,2023-01-04 03:06:22.278677097,0.07070000000000043,sem_reclamacao,0.07070000000000043,0.07070000000000043,
