registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,insurance,transmission_type,owner_type,fuel_type,body_type
2011,1598,120000,100.0,5.0,16.0,2.5,63,2.6791,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2012,1591,120000,120.0,5.0,18.0,3.4,64,3.6038999999999977,Third Party insurance,Manual,First Owner,Petrol,Sedan
2015,1497,41585,120.0,5.0,18.0,5.94,65,5.959200000000002,Comprehensive,Manual,First Owner,Petrol,Sedan
2014,998,80000,70.0,5.0,24.0,2.5,66,2.811099999999999,Third Party insurance,Automatic,Fifth Owner,Petrol,Hatchback
2021,999,20537,70.0,5.0,20.0,6.43,67,6.4506000000000006,Third Party,Manual,Second Owner,Petrol,SUV
2018,1194,54813,90.0,5.0,20.0,5.77,68,5.7279999999999935,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2021,998,30000,120.0,5.0,18.0,10.2,69,10.03660000000001,Third Party insurance,Manual,First Owner,Petrol,SUV
2014,1198,64000,90.0,5.0,18.0,3.3,70,3.4835000000000043,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2009,1248,120000,80.0,5.0,18.0,2.5,71,2.3754934000000008,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2016,1497,70000,120.0,5.0,18.0,6.6,72,6.519500000000006,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
2021,998,6000,120.0,5.0,20.0,8.75,73,9.244599999999998,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2019,1498,60000,100.0,5.0,26.0,5.9,74,6.852599999999992,Third Party insurance,Manual,First Owner,Diesel,Sedan
2018,1197,74325,80.0,5.0,22.0,6.7,75,6.258100000000001,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,1582,110000,130.0,5.0,20.0,8.5,76,8.998199999999999,Third Party insurance,Manual,First Owner,Diesel,SUV
2013,1199,80000,70.0,5.0,22.0,3.4,78,3.28,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2012,998,71713,60.0,5.0,26.0,2.43,79,2.445000000000004,Comprehensive,Manual,First Owner,CNG,Hatchback
2010,1198,100000,80.0,5.0,18.0,1.05,80,1.3662999999999987,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2015,1197,62223,90.0,5.0,22.0,5.06,82,5.124899999999999,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2018,1497,109357,110.0,5.0,22.0,8.42,83,8.200899999999992,Comprehensive,Automatic,First Owner,Diesel,SUV
2021,999,24317,70.0,7.0,20.0,7.0,84,7.085699999999999,Not Available,Manual,First Owner,Petrol,MUV
2017,1197,54024,80.0,5.0,22.0,5.75,85,5.877099999999998,Comprehensive,Manual,First Owner,Petrol,Hatchback
2014,1197,42776,90.0,5.0,22.0,4.64,86,4.486999999999995,Comprehensive,Manual,First Owner,Petrol,Sedan
2022,998,1962,60.0,5.0,34.0,5.58,87,5.779399999999998,Comprehensive,Manual,First Owner,CNG,Hatchback
2014,1462,18866,100.0,7.0,20.0,6.47,88,7.64520000000001,Comprehensive,Manual,First Owner,Petrol,MUV
2017,1497,60000,120.0,5.0,18.0,7.25,89,7.6474,Third Party insurance,Manual,First Owner,Petrol,Sedan
2019,796,88667,50.0,5.0,32.0,3.9,90,3.902599999999997,Comprehensive,Manual,First Owner,CNG,Hatchback
2018,2393,50000,150.0,7.0,14.0,20.5,91,19.37,Third Party insurance,Manual,First Owner,Diesel,MUV
2021,999,31754,70.0,5.0,22.0,4.73,92,4.714500000000005,Comprehensive,Manual,First Owner,Petrol,Hatchback
2013,2179,70000,190.0,5.0,16.0,17.5,93,17.1705,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2019,1497,30000,120.0,5.0,18.0,10.25,94,10.0056,Comprehensive,Automatic,First Owner,Petrol,Sedan
2014,1498,60000,100.0,5.0,26.0,3.2,95,3.858799999999994,Third Party insurance,Manual,First Owner,Diesel,Sedan
2020,1497,66590,120.0,8.0,18.0,11.0,96,10.9715,Comprehensive,Manual,First Owner,Diesel,MUV
2019,1198,23394,110.0,5.0,16.0,9.17,97,9.400899999999986,Third Party,Automatic,First Owner,Petrol,SUV
2019,1197,51193,80.0,5.0,22.0,5.38,98,5.443599999999996,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2013,1197,92285,90.0,5.0,18.0,4.31,99,4.0729000000000015,Comprehensive,Manual,First Owner,Petrol,Hatchback
2014,1198,96966,70.0,5.0,16.0,2.45,100,2.8568999999999978,Not Available,Manual,First Owner,Petrol,Hatchback
2010,1298,62259,90.0,5.0,18.0,2.31,101,2.1357000000000013,Third Party,Manual,Second Owner,Petrol,Sedan
2017,1199,29594,80.0,5.0,24.0,4.98,102,5.163400000000005,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2011,1799,70000,130.0,5.0,14.0,3.5,103,3.2141,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
2017,1197,31600,80.0,5.0,18.0,4.65,104,4.790299999999995,Comprehensive,Manual,First Owner,Petrol,Hatchback
2019,1498,42354,100.0,5.0,24.0,9.52,105,9.035799999999991,Third Party,Manual,First Owner,Diesel,SUV
2017,1199,60000,80.0,5.0,20.0,4.5,106,4.658799999999999,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2019,2179,30000,150.0,7.0,16.0,16.0,107,15.725400000000002,Third Party insurance,Automatic,First Owner,Diesel,SUV
2014,1248,79000,70.0,5.0,22.0,4.8,108,4.498600000000005,Comprehensive,Manual,Second Owner,Diesel,Hatchback
2016,998,27887,70.0,5.0,24.0,5.0,109,4.752,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2015,1248,80000,70.0,5.0,24.0,2.0,110,3.0518,Third Party insurance,Manual,Third Owner,Diesel,Hatchback
2017,1248,65275,90.0,5.0,24.0,6.92,111,7.0697999999999945,Comprehensive,Manual,Second Owner,Diesel,SUV
2019,2393,50000,150.0,7.0,14.0,17.0,112,17.539800000000003,Third Party insurance,Manual,First Owner,Diesel,MUV
2018,1199,29640,90.0,5.0,18.0,7.6,113,7.41480000000001,Third Party insurance,Manual,First Owner,Petrol,SUV
2012,1396,86873,90.0,5.0,22.0,4.85,114,4.293500000000003,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2018,998,79000,70.0,5.0,24.0,3.49,115,3.760700000000005,Comprehensive,Manual,First Owner,Petrol,Hatchback
2019,1198,30000,110.0,5.0,16.0,7.1,116,7.71310000000001,Third Party insurance,Manual,First Owner,Petrol,SUV
2011,1086,49500,70.0,5.0,20.0,2.45,117,2.409499999999997,Not Available,Manual,First Owner,Petrol,Hatchback
2021,998,20000,60.0,5.0,32.0,5.5,119,5.5707,Third Party insurance,Manual,First Owner,CNG,Hatchback
2013,1995,39000,180.0,5.0,18.0,11.0,120,11.0263,Comprehensive,Automatic,First Owner,Diesel,Sedan
2019,999,45000,110.0,5.0,18.0,6.99,121,7.293000000000003,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2019,998,68678,70.0,5.0,34.0,5.34,122,5.1658999999999935,Third Party,Manual,First Owner,CNG,Hatchback
2019,1999,30000,150.0,5.0,12.0,17.0,123,17.9337,Third Party insurance,Automatic,First Owner,Petrol,SUV
2018,1197,32647,80.0,5.0,22.0,7.45,124,7.244100000000006,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2018,796,70000,50.0,5.0,24.0,2.8,125,3.312700000000003,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2019,1462,60000,100.0,7.0,20.0,11.0,126,10.1443,Third Party insurance,Manual,First Owner,Petrol,MUV
2016,2179,90000,150.0,7.0,14.0,6.0,127,7.358099999999999,Third Party insurance,Manual,Second Owner,Diesel,SUV
2014,1995,90000,180.0,5.0,18.0,10.0,128,11.0888,Third Party insurance,Automatic,Fourth Owner,Diesel,Sedan
2016,1199,101386,80.0,5.0,24.0,3.64,129,4.0568999999999935,Comprehensive,Manual,First Owner,Petrol,Hatchback
2010,1197,120000,80.0,5.0,16.0,3.4,130,2.7860000000000014,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2021,1199,7662,120.0,5.0,16.0,12.17,132,11.799699999999998,Zero Dep,Automatic,First Owner,Petrol,SUV
2018,1197,29084,80.0,5.0,18.0,6.6,133,6.466700000000007,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2019,1197,42090,80.0,5.0,18.0,5.74,134,6.002500000000003,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2018,1197,69553,90.0,5.0,22.0,5.96,135,5.822999999999999,Third Party,Manual,First Owner,Petrol,Hatchback
2019,1197,47844,80.0,5.0,20.0,5.12,136,5.867000000000003,Zero Dep,Automatic,Second Owner,Petrol,Hatchback
2010,998,61633,70.0,5.0,20.0,1.95,137,2.148699999999998,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2018,2498,32000,100.0,6.0,16.0,9.75,138,9.265100000000004,Comprehensive,Manual,Second Owner,Diesel,SUV
2019,1197,64891,80.0,5.0,22.0,5.64,139,5.708299999999992,Third Party,Manual,Second Owner,Petrol,Hatchback
2013,796,80000,50.0,5.0,22.0,2.1,140,2.0793999999999984,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2014,1498,100578,90.0,5.0,20.0,6.4,141,5.909599999999994,Third Party,Manual,Second Owner,Diesel,Hatchback
2012,998,54007,70.0,5.0,20.0,2.65,142,2.807600000000001,Comprehensive,Manual,First Owner,Petrol,Hatchback
2016,1497,46275,120.0,5.0,18.0,7.23,143,7.095000000000007,Comprehensive,Manual,First Owner,Petrol,Sedan
2023,1451,10000,140.0,5.0,14.0,19.5,144,18.8746,Third Party insurance,Manual,First Owner,Petrol,SUV
2012,1197,52300,80.0,5.0,20.0,2.35,145,2.555199999999997,Comprehensive,Manual,First Owner,Petrol,Hatchback
2012,1197,64302,90.0,5.0,22.0,3.99,146,4.142200000000003,Third Party insurance,Manual,First Owner,Petrol,Sedan
2014,814,74318,60.0,5.0,22.0,2.0,148,2.0738000000000008,Third Party,Manual,First Owner,Petrol,Hatchback
2017,1798,100000,180.0,5.0,16.0,9.2,149,11.039100000000014,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2018,2179,18000,150.0,7.0,16.0,15.95,150,16.032500000000017,Zero Dep,Automatic,First Owner,Diesel,SUV
2017,1396,116263,90.0,5.0,22.0,5.65,151,6.0119999999999925,Comprehensive,Manual,Third Owner,Diesel,Hatchback
2021,999,20000,110.0,5.0,18.0,9.5,152,9.6916,Third Party insurance,Manual,First Owner,Petrol,Sedan
2015,1197,93000,80.0,5.0,18.0,6.25,153,5.893,Comprehensive,Manual,First Owner,Petrol,Hatchback
2018,1197,64059,100.0,5.0,18.0,7.38,154,7.458899999999999,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2010,1199,89748,80.0,5.0,18.0,1.18,155,1.4805000000000024,Not Available,Manual,Fourth Owner,Petrol,Hatchback
2008,1086,164359,60.0,5.0,18.0,0.75635,156,0.9423208999999988,Not Available,Manual,Third Owner,Petrol,Hatchback
2017,1248,70000,70.0,5.0,26.0,5.0,157,5.047600000000001,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2012,796,63697,50.0,5.0,20.0,2.35,158,2.3516999999999983,Comprehensive,Manual,First Owner,Petrol,Hatchback
2016,1248,79221,90.0,5.0,24.0,8.13,159,7.743699999999999,Zero Dep,Manual,First Owner,Diesel,SUV
2009,995,80000,60.0,5.0,16.0,1.2,160,1.1773000000000011,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2023,1498,18000,150.0,5.0,18.0,16.85,161,20.01299999999998,Comprehensive,Automatic,First Owner,Petrol,Sedan
2015,998,57521,70.0,5.0,26.0,4.54,162,4.574600000000007,Comprehensive,Manual,First Owner,Petrol,Hatchback
2019,1591,40000,120.0,5.0,16.0,13.2,163,11.753100000000012,Third Party insurance,Manual,First Owner,Petrol,SUV
2008,998,60000,70.0,5.0,22.0,1.7,164,1.6420999999999994,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2011,1995,80000,180.0,5.0,18.0,9.5,165,10.056,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2018,1199,12724,90.0,5.0,18.0,7.1,166,7.05330000000001,Zero Dep,Manual,Second Owner,Petrol,SUV
2017,1591,15504,120.0,5.0,18.0,7.81,167,8.279499999999988,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2014,1968,27277,140.0,5.0,20.0,11.15,168,12.444800000000008,Not Available,Automatic,First Owner,Diesel,Sedan
2021,1199,2024,80.0,5.0,20.0,8.13,169,7.949299999999997,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2019,1197,37610,80.0,5.0,18.0,6.72,170,6.77460000000001,Zero Dep,Automatic,First Owner,Petrol,Sedan
2014,1497,37609,120.0,5.0,18.0,5.0,171,5.3094,Third Party,Manual,First Owner,Petrol,Sedan
2016,2982,90000,170.0,7.0,12.0,16.4,172,17.69320000000002,Third Party insurance,Automatic,First Owner,Diesel,SUV
2012,1198,120000,80.0,5.0,18.0,2.1,173,2.302199999999998,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2022,998,20000,60.0,5.0,34.0,5.5,174,5.5915,Comprehensive,Manual,First Owner,CNG,Hatchback
2017,1995,55000,190.0,5.0,18.0,26.5,175,28.8735,Comprehensive,Automatic,Second Owner,Diesel,SUV
2015,1197,46988,80.0,5.0,18.0,4.83,176,4.994699999999996,Comprehensive,Manual,First Owner,Petrol,Hatchback
2021,796,20000,50.0,5.0,22.0,3.7,177,3.8782999999999954,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2019,1798,67896,180.0,5.0,16.0,15.08,178,15.836499999999988,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2020,1493,17662,110.0,5.0,20.0,13.21,179,13.620000000000012,Zero Dep,Manual,First Owner,Diesel,SUV
2020,1199,15874,80.0,5.0,20.0,4.75,180,5.1983,Third Party,Manual,First Owner,Petrol,Hatchback
2014,1120,70000,70.0,5.0,24.0,3.6,181,3.399300000000001,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2012,1995,80000,180.0,5.0,18.0,10.0,182,10.05,Third Party insurance,Automatic,Fourth Owner,Diesel,Sedan
2019,1798,54000,180.0,5.0,14.0,18.5,183,18.768600000000003,Third Party,Automatic,First Owner,Petrol,Sedan
2021,799,10000,50.0,5.0,22.0,4.45,184,4.320299999999994,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2015,1497,65253,120.0,5.0,18.0,6.39,185,6.169299999999995,Third Party,Manual,First Owner,Petrol,Sedan
2010,1196,50000,70.0,7.0,16.0,1.75,187,1.9819,Third Party insurance,Manual,Third Owner,Petrol,Minivans
2010,1197,80000,80.0,5.0,16.0,3.0,188,2.6804,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2012,1197,78249,90.0,5.0,22.0,4.21,189,3.9851999999999976,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2012,1198,53300,90.0,5.0,20.0,2.49,190,2.640900000000004,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2013,2477,100000,180.0,7.0,14.0,7.95,191,8.976900000000006,Third Party insurance,Manual,Second Owner,Diesel,SUV
2012,998,65000,70.0,5.0,22.0,2.1,192,2.242899999999998,Comprehensive,Manual,First Owner,Petrol,Hatchback
2021,1086,5482,70.0,5.0,20.0,6.39,193,6.244999999999992,Third Party,Automatic,First Owner,Petrol,Hatchback
2017,1591,45364,120.0,5.0,18.0,8.67,194,8.516799999999991,Comprehensive,Manual,Second Owner,Petrol,Sedan
2016,1197,53000,80.0,5.0,18.0,3.99,195,4.176200000000003,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2009,995,60000,60.0,5.0,18.0,0.5,196,0.6398988000000001,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2017,1197,51181,80.0,5.0,18.0,6.39,197,6.288699999999992,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2017,1498,64898,100.0,7.0,22.0,6.39,198,6.612399999999995,Third Party insurance,Manual,First Owner,Diesel,SUV
2017,1396,70000,90.0,5.0,22.0,7.95,200,7.688600000000007,Comprehensive,Manual,First Owner,Diesel,SUV
2017,1248,36496,70.0,5.0,26.0,6.64,201,6.591699999999992,Zero Dep,Manual,First Owner,Diesel,Hatchback
2016,1197,43000,80.0,5.0,22.0,4.8,202,4.903000000000005,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2018,1248,99367,70.0,5.0,28.0,7.15,203,6.864599999999992,Third Party,Manual,First Owner,Diesel,Sedan
2017,1197,48197,80.0,5.0,20.0,6.45,204,6.337300000000004,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,1582,76089,130.0,5.0,22.0,9.32,205,9.325200000000017,Third Party,Automatic,First Owner,Diesel,Sedan
2017,1197,50000,80.0,5.0,18.0,6.0,207,6.113999999999995,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2018,1248,50669,90.0,5.0,24.0,5.62,208,6.510100000000002,Third Party insurance,Manual,First Owner,Diesel,SUV
2012,1985,109000,160.0,5.0,14.0,10.15,209,8.91859999999999,Third Party insurance,Automatic,First Owner,Diesel,SUV
2016,998,85246,60.0,5.0,26.0,3.57,210,3.707999999999998,Comprehensive,Manual,First Owner,CNG,Hatchback
2021,1493,12879,110.0,6.0,18.0,18.0,211,17.8621,Not Available,Automatic,First Owner,Diesel,SUV
2013,1968,73000,170.0,5.0,18.0,13.9,212,14.023700000000009,Comprehensive,Automatic,Second Owner,Diesel,Sedan
2018,1591,57600,120.0,5.0,16.0,10.8,213,10.503899999999987,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2019,1197,69561,80.0,5.0,18.0,5.48,214,5.673400000000006,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2019,1591,19722,120.0,5.0,14.0,12.56,215,12.762699999999985,Third Party,Automatic,Second Owner,Petrol,SUV
2016,1198,64134,90.0,5.0,18.0,5.12,216,4.784100000000001,Zero Dep,Manual,First Owner,Petrol,Sedan
2019,3198,90000,200.0,7.0,10.0,32.0,217,31.767,Third Party insurance,Automatic,First Owner,Diesel,SUV
2011,2498,90000,100.0,6.0,16.0,5.0,218,4.8075,Third Party insurance,Manual,Second Owner,Diesel,SUV
2017,1199,108498,80.0,5.0,24.0,3.85,219,4.053900000000004,Comprehensive,Manual,First Owner,Petrol,Hatchback
2021,998,26032,60.0,5.0,32.0,5.99,220,5.839000000000004,Comprehensive,Manual,First Owner,CNG,Hatchback
2018,1199,42000,80.0,5.0,24.0,4.85,221,4.816800000000006,Comprehensive,Manual,First Owner,Petrol,Hatchback
2014,814,70000,60.0,5.0,22.0,2.5,222,2.488200000000001,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2021,999,15987,70.0,5.0,20.0,7.19,223,6.834600000000008,Zero Dep,Manual,First Owner,Petrol,SUV
2022,799,10000,50.0,5.0,22.0,4.3,224,4.088000000000003,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2014,1461,100000,80.0,5.0,20.0,4.0,225,4.3794,Third Party insurance,Manual,First Owner,Diesel,SUV
2013,998,8889,70.0,5.0,18.0,2.95,226,2.8746999999999967,Comprehensive,Manual,First Owner,Petrol,Hatchback
2010,1193,70000,60.0,5.0,16.0,1.75,227,1.7024,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2014,1197,98500,80.0,5.0,18.0,3.43,228,3.505300000000005,Zero Dep,Manual,Second Owner,Petrol,Hatchback
2012,1497,110067,120.0,5.0,16.0,4.14,229,4.069399999999992,Comprehensive,Manual,Second Owner,Petrol,Sedan
2012,998,50989,70.0,5.0,18.0,2.79,230,2.6674999999999978,Comprehensive,Manual,First Owner,Petrol,Hatchback
2023,999,14000,110.0,5.0,20.0,16.25,231,15.491199999999994,Third Party insurance,Manual,First Owner,Petrol,SUV
2013,1598,132000,100.0,5.0,20.0,3.45,232,3.609099999999996,Comprehensive,Manual,First Owner,Diesel,Sedan
2020,1197,30000,80.0,5.0,20.0,6.5,233,6.6942,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
2017,1591,67224,120.0,5.0,16.0,8.19,234,8.56300000000001,Comprehensive,Manual,First Owner,Petrol,SUV
2017,1197,60528,100.0,5.0,18.0,9.25,235,8.4462,Third Party insurance,Automatic,Second Owner,Petrol,Hatchback
2018,1373,63974,90.0,5.0,20.0,6.99,236,7.033600000000004,Third Party,Manual,Second Owner,Petrol,Sedan
2020,1497,30000,110.0,5.0,16.0,10.9,237,11.360299999999995,Comprehensive,Manual,First Owner,Petrol,SUV
2010,1197,94259,90.0,5.0,22.0,2.6,238,2.5215999999999976,Third Party insurance,Manual,First Owner,Petrol,Hatchback
