,Date
179,2023-01-06 01:07:01.872821624
180,2023-01-06 01:47:37.749206103
181,2023-01-06 02:28:13.625590581
182,2023-01-06 03:08:49.501975060
183,2023-01-06 03:49:25.378359538
184,2023-01-06 04:30:01.254744016
185,2023-01-06 05:10:37.131128495
186,2023-01-06 05:51:13.007512973
187,2023-01-06 06:31:48.883897451
188,2023-01-06 07:12:24.760281930
189,2023-01-06 07:53:00.636666408
190,2023-01-06 08:33:36.513050886
191,2023-01-06 09:14:12.389435365
192,2023-01-06 09:54:48.265819843
193,2023-01-06 10:35:24.142204321
194,2023-01-06 11:16:00.018588800
195,2023-01-06 11:56:35.894973278
196,2023-01-06 12:37:11.771357756
197,2023-01-06 13:17:47.647742235
198,2023-01-06 13:58:23.524126713
199,2023-01-06 14:38:59.400511191
200,2023-01-06 15:19:35.276895670
201,2023-01-06 16:00:11.153280148
202,2023-01-06 16:40:47.029664627
203,2023-01-06 17:21:22.906049105
204,2023-01-06 18:01:58.782433583
205,2023-01-06 18:42:34.658818062
206,2023-01-06 19:23:10.535202540
207,2023-01-06 20:03:46.411587018
208,2023-01-06 20:44:22.287971497
209,2023-01-06 21:24:58.164355975
210,2023-01-06 22:05:34.040740453
211,2023-01-06 22:46:09.917124932
212,2023-01-06 23:26:45.793509410
213,2023-01-07 00:07:21.669893888
214,2023-01-07 00:47:57.546278367
215,2023-01-07 01:28:33.422662845
216,2023-01-07 02:09:09.299047323
217,2023-01-07 02:49:45.175431802
218,2023-01-07 03:30:21.051816280
219,2023-01-07 04:10:56.928200759
220,2023-01-07 04:51:32.804585237
221,2023-01-07 05:32:08.680969715
222,2023-01-07 06:12:44.557354194
223,2023-01-07 06:53:20.433738672
224,2023-01-07 07:33:56.310123150
225,2023-01-07 08:14:32.186507629
226,2023-01-07 08:55:08.062892107
227,2023-01-07 09:35:43.939276585
228,2023-01-07 10:16:19.815661064
229,2023-01-07 10:56:55.692045542
230,2023-01-07 11:37:31.568430020
231,2023-01-07 12:18:07.444814499
232,2023-01-07 12:58:43.321198977
233,2023-01-07 13:39:19.197583455
234,2023-01-07 14:19:55.073967934
235,2023-01-07 15:00:30.950352412
236,2023-01-07 15:41:06.826736891
237,2023-01-07 16:21:42.703121369
238,2023-01-07 17:02:18.579505847
239,2023-01-07 17:42:54.455890326
240,2023-01-07 18:23:30.332274804
241,2023-01-07 19:04:06.208659282
242,2023-01-07 19:44:42.085043761
243,2023-01-07 20:25:17.961428239
244,2023-01-07 21:05:53.837812717
245,2023-01-07 21:46:29.714197196
246,2023-01-07 22:27:05.590581674
247,2023-01-07 23:07:41.466966152
248,2023-01-07 23:48:17.343350631
249,2023-01-08 00:28:53.219735109
250,2023-01-08 01:09:29.096119587
251,2023-01-08 01:50:04.972504066
252,2023-01-08 02:30:40.848888544
253,2023-01-08 03:11:16.725273023
254,2023-01-08 03:51:52.601657501
255,2023-01-08 04:32:28.478041979
256,2023-01-08 05:13:04.354426458
257,2023-01-08 05:53:40.230810936
258,2023-01-08 06:34:16.107195414
259,2023-01-08 07:14:51.983579893
260,2023-01-08 07:55:27.859964371
261,2023-01-08 08:36:03.736348849
262,2023-01-08 09:16:39.612733328
263,2023-01-08 09:57:15.489117806
264,2023-01-08 10:37:51.365502284
265,2023-01-08 11:18:27.241886763
266,2023-01-08 11:59:03.118271241
267,2023-01-08 12:39:38.994655719
268,2023-01-08 13:20:14.871040198
269,2023-01-08 14:00:50.747424676
270,2023-01-08 14:41:26.623809154
271,2023-01-08 15:22:02.500193633
272,2023-01-08 16:02:38.376578111
273,2023-01-08 16:43:14.252962590
274,2023-01-08 17:23:50.129347068
275,2023-01-08 18:04:26.005731546
276,2023-01-08 18:45:01.882116025
277,2023-01-08 19:25:37.758500503
278,2023-01-08 20:06:13.634884981
279,2023-01-08 20:46:49.511269460
280,2023-01-08 21:27:25.387653938
281,2023-01-08 22:08:01.264038416
282,2023-01-08 22:48:37.140422895
283,2023-01-08 23:29:13.016807373
284,2023-01-09 00:09:48.893191851
285,2023-01-09 00:50:24.769576330
286,2023-01-09 01:31:00.645960808
287,2023-01-09 02:11:36.522345286
288,2023-01-09 02:52:12.398729765
289,2023-01-09 03:32:48.275114243
290,2023-01-09 04:13:24.151498722
291,2023-01-09 04:54:00.027883200
292,2023-01-09 05:34:35.904267678
293,2023-01-09 06:15:11.780652157
294,2023-01-09 06:55:47.657036635
295,2023-01-09 07:36:23.533421113
296,2023-01-09 08:16:59.409805592
297,2023-01-09 08:57:35.286190070
298,2023-01-09 09:38:11.162574548
299,2023-01-09 10:18:47.038959027
300,2023-01-09 10:59:22.915343505
301,2023-01-09 11:39:58.791727983
302,2023-01-09 12:20:34.668112462
303,2023-01-09 13:01:10.544496940
304,2023-01-09 13:41:46.420881418
305,2023-01-09 14:22:22.297265897
306,2023-01-09 15:02:58.173650375
307,2023-01-09 15:43:34.050034853
308,2023-01-09 16:24:09.926419332
309,2023-01-09 17:04:45.802803810
310,2023-01-09 17:45:21.679188289
311,2023-01-09 18:25:57.555572767
312,2023-01-09 19:06:33.431957245
313,2023-01-09 19:47:09.308341724
314,2023-01-09 20:27:45.184726202
315,2023-01-09 21:08:21.061110680
316,2023-01-09 21:48:56.937495159
317,2023-01-09 22:29:32.813879637
318,2023-01-09 23:10:08.690264115
319,2023-01-09 23:50:44.566648594
320,2023-01-10 00:31:20.443033072
321,2023-01-10 01:11:56.319417550
322,2023-01-10 01:52:32.195802029
323,2023-01-10 02:33:08.072186507
324,2023-01-10 03:13:43.948570985
325,2023-01-10 03:54:19.824955464
326,2023-01-10 04:34:55.701339942
327,2023-01-10 05:15:31.577724421
328,2023-01-10 05:56:07.454108899
329,2023-01-10 06:36:43.330493377
330,2023-01-10 07:17:19.206877856
331,2023-01-10 07:57:55.083262334
332,2023-01-10 08:38:30.959646812
333,2023-01-10 09:19:06.836031291
334,2023-01-10 09:59:42.712415769
335,2023-01-10 10:40:18.588800247
336,2023-01-10 11:20:54.465184726
337,2023-01-10 12:01:30.341569204
338,2023-01-10 12:42:06.217953682
339,2023-01-10 13:22:42.094338161
340,2023-01-10 14:03:17.970722639
341,2023-01-10 14:43:53.847107117
342,2023-01-10 15:24:29.723491596
343,2023-01-10 16:05:05.599876074
344,2023-01-10 16:45:41.476260553
345,2023-01-10 17:26:17.352645031
346,2023-01-10 18:06:53.229029509
347,2023-01-10 18:47:29.105413988
348,2023-01-10 19:28:04.981798466
349,2023-01-10 20:08:40.858182944
350,2023-01-10 20:49:16.734567423
351,2023-01-10 21:29:52.610951901
352,2023-01-10 22:10:28.487336379
353,2023-01-10 22:51:04.363720858
354,2023-01-10 23:31:40.240105336
355,2023-01-11 00:12:16.116489814
356,2023-01-11 00:52:51.992874293
357,2023-01-11 01:33:27.869258771
358,2023-01-11 02:14:03.745643249
359,2023-01-11 02:54:39.622027728
360,2023-01-11 03:35:15.498412206
361,2023-01-11 04:15:51.374796684
362,2023-01-11 04:56:27.251181163
363,2023-01-11 05:37:03.127565641
364,2023-01-11 06:17:39.003950120
365,2023-01-11 06:58:14.880334598
366,2023-01-11 07:38:50.756719076
367,2023-01-11 08:19:26.633103555
368,2023-01-11 09:00:02.509488033
369,2023-01-11 09:40:38.385872511
370,2023-01-11 10:21:14.262256990
371,2023-01-11 11:01:50.138641468
372,2023-01-11 11:42:26.015025946
373,2023-01-11 12:23:01.891410425
374,2023-01-11 13:03:37.767794903
375,2023-01-11 13:44:13.644179381
376,2023-01-11 14:24:49.520563860
377,2023-01-11 15:05:25.396948338
378,2023-01-11 15:46:01.273332816
379,2023-01-11 16:26:37.149717295
380,2023-01-11 17:07:13.026101773
381,2023-01-11 17:47:48.902486252
382,2023-01-11 18:28:24.778870730
383,2023-01-11 19:09:00.655255208
384,2023-01-11 19:49:36.531639687
385,2023-01-11 20:30:12.408024165
386,2023-01-11 21:10:48.284408643
387,2023-01-11 21:51:24.160793122
388,2023-01-11 22:32:00.037177600
389,2023-01-11 23:12:35.913562078
390,2023-01-11 23:53:11.789946557
391,2023-01-12 00:33:47.666331035
392,2023-01-12 01:14:23.542715513
393,2023-01-12 01:54:59.419099992
394,2023-01-12 02:35:35.295484470
395,2023-01-12 03:16:11.171868948
396,2023-01-12 03:56:47.048253427
397,2023-01-12 04:37:22.924637905
398,2023-01-12 05:17:58.801022383
399,2023-01-12 05:58:34.677406862
400,2023-01-12 06:39:10.553791340
401,2023-01-12 07:19:46.430175819
402,2023-01-12 08:00:22.306560297
403,2023-01-12 08:40:58.182944775
404,2023-01-12 09:21:34.059329254
405,2023-01-12 10:02:09.935713732
406,2023-01-12 10:42:45.812098210
407,2023-01-12 11:23:21.688482689
408,2023-01-12 12:03:57.564867167
409,2023-01-12 12:44:33.441251645
410,2023-01-12 13:25:09.317636124
411,2023-01-12 14:05:45.194020602
412,2023-01-12 14:46:21.070405080
413,2023-01-12 15:26:56.946789559
414,2023-01-12 16:07:32.823174037
415,2023-01-12 16:48:08.699558515
416,2023-01-12 17:28:44.575942994
417,2023-01-12 18:09:20.452327472
418,2023-01-12 18:49:56.328711951
419,2023-01-12 19:30:32.205096429
420,2023-01-12 20:11:08.081480907
421,2023-01-12 20:51:43.957865386
422,2023-01-12 21:32:19.834249864
423,2023-01-12 22:12:55.710634342
424,2023-01-12 22:53:31.587018821
425,2023-01-12 23:34:07.463403299
426,2023-01-13 00:14:43.339787777
427,2023-01-13 00:55:19.216172256
428,2023-01-13 01:35:55.092556734
429,2023-01-13 02:16:30.968941212
430,2023-01-13 02:57:06.845325691
431,2023-01-13 03:37:42.721710169
432,2023-01-13 04:18:18.598094647
433,2023-01-13 04:58:54.474479126
434,2023-01-13 05:39:30.350863604
435,2023-01-13 06:20:06.227248082
436,2023-01-13 07:00:42.103632561
437,2023-01-13 07:41:17.980017039
438,2023-01-13 08:21:53.856401518
439,2023-01-13 09:02:29.732785996
440,2023-01-13 09:43:05.609170474
441,2023-01-13 10:23:41.485554953
442,2023-01-13 11:04:17.361939431
443,2023-01-13 11:44:53.238323909
444,2023-01-13 12:25:29.114708388
445,2023-01-13 13:06:04.991092866
446,2023-01-13 13:46:40.867477344
447,2023-01-13 14:27:16.743861823
448,2023-01-13 15:07:52.620246301
449,2023-01-13 15:48:28.496630779
450,2023-01-13 16:29:04.373015258
451,2023-01-13 17:09:40.249399736
452,2023-01-13 17:50:16.125784214
453,2023-01-13 18:30:52.002168693
454,2023-01-13 19:11:27.878553171
455,2023-01-13 19:52:03.754937650
456,2023-01-13 20:32:39.631322128
457,2023-01-13 21:13:15.507706606
458,2023-01-13 21:53:51.384091085
459,2023-01-13 22:34:27.260475563
460,2023-01-13 23:15:03.136860041
461,2023-01-13 23:55:39.013244520
462,2023-01-14 00:36:14.889628998
463,2023-01-14 01:16:50.766013476
464,2023-01-14 01:57:26.642397955
465,2023-01-14 02:38:02.518782433
466,2023-01-14 03:18:38.395166911
467,2023-01-14 03:59:14.271551390
468,2023-01-14 04:39:50.147935868
469,2023-01-14 05:20:26.024320347
470,2023-01-14 06:01:01.900704825
471,2023-01-14 06:41:37.777089303
472,2023-01-14 07:22:13.653473782
473,2023-01-14 08:02:49.529858260
474,2023-01-14 08:43:25.406242738
475,2023-01-14 09:24:01.282627217
476,2023-01-14 10:04:37.159011695
477,2023-01-14 10:45:13.035396173
478,2023-01-14 11:25:48.911780652
479,2023-01-14 12:06:24.788165130
480,2023-01-14 12:47:00.664549608
481,2023-01-14 13:27:36.540934087
482,2023-01-14 14:08:12.417318565
483,2023-01-14 14:48:48.293703043
484,2023-01-14 15:29:24.170087522
485,2023-01-14 16:10:00.046472000
486,2023-01-14 16:50:35.922856478
487,2023-01-14 17:31:11.799240957
488,2023-01-14 18:11:47.675625435
489,2023-01-14 18:52:23.552009914
490,2023-01-14 19:32:59.428394392
491,2023-01-14 20:13:35.304778870
492,2023-01-14 20:54:11.181163349
493,2023-01-14 21:34:47.057547827
494,2023-01-14 22:15:22.933932305
495,2023-01-14 22:55:58.810316784
496,2023-01-14 23:36:34.686701262
497,2023-01-15 00:17:10.563085740
498,2023-01-15 00:57:46.439470219
499,2023-01-15 01:38:22.315854697
500,2023-01-15 02:18:58.192239175
501,2023-01-15 02:59:34.068623654
502,2023-01-15 03:40:09.945008132
503,2023-01-15 04:20:45.821392610
504,2023-01-15 05:01:21.697777089
505,2023-01-15 05:41:57.574161567
506,2023-01-15 06:22:33.450546046
507,2023-01-15 07:03:09.326930524
508,2023-01-15 07:43:45.203315002
509,2023-01-15 08:24:21.079699481
510,2023-01-15 09:04:56.956083959
511,2023-01-15 09:45:32.832468437
512,2023-01-15 10:26:08.708852916
513,2023-01-15 11:06:44.585237394
514,2023-01-15 11:47:20.461621872
515,2023-01-15 12:27:56.338006351
516,2023-01-15 13:08:32.214390829
517,2023-01-15 13:49:08.090775307
518,2023-01-15 14:29:43.967159786
519,2023-01-15 15:10:19.843544264
520,2023-01-15 15:50:55.719928742
521,2023-01-15 16:31:31.596313221
522,2023-01-15 17:12:07.472697699
523,2023-01-15 17:52:43.349082177
524,2023-01-15 18:33:19.225466656
525,2023-01-15 19:13:55.101851134
526,2023-01-15 19:54:30.978235613
527,2023-01-15 20:35:06.854620091
528,2023-01-15 21:15:42.731004569
529,2023-01-15 21:56:18.607389048
530,2023-01-15 22:36:54.483773526
531,2023-01-15 23:17:30.360158004
532,2023-01-15 23:58:06.236542483
533,2023-01-16 00:38:42.112926961
534,2023-01-16 01:19:17.989311439
535,2023-01-16 01:59:53.865695918
536,2023-01-16 02:40:29.742080396
537,2023-01-16 03:21:05.618464874
538,2023-01-16 04:01:41.494849353
539,2023-01-16 04:42:17.371233831
540,2023-01-16 05:22:53.247618309
541,2023-01-16 06:03:29.124002788
542,2023-01-16 06:44:05.000387266
543,2023-01-16 07:24:40.876771745
544,2023-01-16 08:05:16.753156223
545,2023-01-16 08:45:52.629540701
546,2023-01-16 09:26:28.505925180
547,2023-01-16 10:07:04.382309658
548,2023-01-16 10:47:40.258694136
549,2023-01-16 11:28:16.135078615
550,2023-01-16 12:08:52.011463093
551,2023-01-16 12:49:27.887847571
552,2023-01-16 13:30:03.764232050
553,2023-01-16 14:10:39.640616528
554,2023-01-16 14:51:15.517001006
555,2023-01-16 15:31:51.393385485
556,2023-01-16 16:12:27.269769963
557,2023-01-16 16:53:03.146154441
558,2023-01-16 17:33:39.022538920
559,2023-01-16 18:14:14.898923398
560,2023-01-16 18:54:50.775307877
561,2023-01-16 19:35:26.651692355
562,2023-01-16 20:16:02.528076833
563,2023-01-16 20:56:38.404461312
564,2023-01-16 21:37:14.280845790
565,2023-01-16 22:17:50.157230268
566,2023-01-16 22:58:26.033614747
567,2023-01-16 23:39:01.909999225
568,2023-01-17 00:19:37.786383703
569,2023-01-17 01:00:13.662768182
570,2023-01-17 01:40:49.539152660
571,2023-01-17 02:21:25.415537138
572,2023-01-17 03:02:01.291921617
573,2023-01-17 03:42:37.168306095
574,2023-01-17 04:23:13.044690573
575,2023-01-17 05:03:48.921075052
576,2023-01-17 05:44:24.797459530
577,2023-01-17 06:25:00.673844008
578,2023-01-17 07:05:36.550228487
579,2023-01-17 07:46:12.426612965
580,2023-01-17 08:26:48.302997444
581,2023-01-17 09:07:24.179381922
582,2023-01-17 09:48:00.055766400
583,2023-01-17 10:28:35.932150879
584,2023-01-17 11:09:11.808535357
585,2023-01-17 11:49:47.684919835
586,2023-01-17 12:30:23.561304314
587,2023-01-17 13:10:59.437688792
588,2023-01-17 13:51:35.314073270
589,2023-01-17 14:32:11.190457749
590,2023-01-17 15:12:47.066842227
591,2023-01-17 15:53:22.943226705
592,2023-01-17 16:33:58.819611184
593,2023-01-17 17:14:34.695995662
594,2023-01-17 17:55:10.572380140
595,2023-01-17 18:35:46.448764619
596,2023-01-17 19:16:22.325149097
597,2023-01-17 19:56:58.201533576
598,2023-01-17 20:37:34.077918054
599,2023-01-17 21:18:09.954302532
600,2023-01-17 21:58:45.830687011
601,2023-01-17 22:39:21.707071489
602,2023-01-17 23:19:57.583455967
603,2023-01-18 00:00:33.459840446
604,2023-01-18 00:41:09.336224924
605,2023-01-18 01:21:45.212609402
606,2023-01-18 02:02:21.088993881
607,2023-01-18 02:42:56.965378359
608,2023-01-18 03:23:32.841762837
609,2023-01-18 04:04:08.718147316
610,2023-01-18 04:44:44.594531794
611,2023-01-18 05:25:20.470916272
612,2023-01-18 06:05:56.347300751
613,2023-01-18 06:46:32.223685229
614,2023-01-18 07:27:08.100069707
615,2023-01-18 08:07:43.976454186
616,2023-01-18 08:48:19.852838664
617,2023-01-18 09:28:55.729223143
618,2023-01-18 10:09:31.605607621
619,2023-01-18 10:50:07.481992099
620,2023-01-18 11:30:43.358376578
621,2023-01-18 12:11:19.234761056
622,2023-01-18 12:51:55.111145534
623,2023-01-18 13:32:30.987530013
624,2023-01-18 14:13:06.863914491
625,2023-01-18 14:53:42.740298969
626,2023-01-18 15:34:18.616683448
627,2023-01-18 16:14:54.493067926
628,2023-01-18 16:55:30.369452404
629,2023-01-18 17:36:06.245836883
630,2023-01-18 18:16:42.122221361
631,2023-01-18 18:57:17.998605839
632,2023-01-18 19:37:53.874990318
633,2023-01-18 20:18:29.751374796
634,2023-01-18 20:59:05.627759275
635,2023-01-18 21:39:41.504143753
636,2023-01-18 22:20:17.380528231
637,2023-01-18 23:00:53.256912710
638,2023-01-18 23:41:29.133297188
639,2023-01-19 00:22:05.009681666
640,2023-01-19 01:02:40.886066145
641,2023-01-19 01:43:16.762450623
642,2023-01-19 02:23:52.638835101
643,2023-01-19 03:04:28.515219580
644,2023-01-19 03:45:04.391604058
645,2023-01-19 04:25:40.267988536
646,2023-01-19 05:06:16.144373015
647,2023-01-19 05:46:52.020757493
648,2023-01-19 06:27:27.897141971
649,2023-01-19 07:08:03.773526450
650,2023-01-19 07:48:39.649910928
651,2023-01-19 08:29:15.526295406
652,2023-01-19 09:09:51.402679885
653,2023-01-19 09:50:27.279064363
654,2023-01-19 10:31:03.155448842
655,2023-01-19 11:11:39.031833320
656,2023-01-19 11:52:14.908217798
657,2023-01-19 12:32:50.784602277
658,2023-01-19 13:13:26.660986755
659,2023-01-19 13:54:02.537371233
660,2023-01-19 14:34:38.413755712
661,2023-01-19 15:15:14.290140190
662,2023-01-19 15:55:50.166524668
663,2023-01-19 16:36:26.042909147
664,2023-01-19 17:17:01.919293625
665,2023-01-19 17:57:37.795678103
666,2023-01-19 18:38:13.672062582
667,2023-01-19 19:18:49.548447060
668,2023-01-19 19:59:25.424831538
669,2023-01-19 20:40:01.301216017
670,2023-01-19 21:20:37.177600495
671,2023-01-19 22:01:13.053984974
672,2023-01-19 22:41:48.930369452
673,2023-01-19 23:22:24.806753930
674,2023-01-20 00:03:00.683138409
675,2023-01-20 00:43:36.559522887
676,2023-01-20 01:24:12.435907365
677,2023-01-20 02:04:48.312291844
678,2023-01-20 02:45:24.188676322
679,2023-01-20 03:26:00.065060800
680,2023-01-20 04:06:35.941445279
681,2023-01-20 04:47:11.817829757
682,2023-01-20 05:27:47.694214235
683,2023-01-20 06:08:23.570598714
684,2023-01-20 06:48:59.446983192
685,2023-01-20 07:29:35.323367670
686,2023-01-20 08:10:11.199752149
687,2023-01-20 08:50:47.076136627
688,2023-01-20 09:31:22.952521106
689,2023-01-20 10:11:58.828905584
690,2023-01-20 10:52:34.705290062
691,2023-01-20 11:33:10.581674541
692,2023-01-20 12:13:46.458059019
693,2023-01-20 12:54:22.334443497
694,2023-01-20 13:34:58.210827976
695,2023-01-20 14:15:34.087212454
696,2023-01-20 14:56:09.963596932
697,2023-01-20 15:36:45.839981411
698,2023-01-20 16:17:21.716365889
699,2023-01-20 16:57:57.592750367
700,2023-01-20 17:38:33.469134846
701,2023-01-20 18:19:09.345519324
702,2023-01-20 18:59:45.221903802
703,2023-01-20 19:40:21.098288281
704,2023-01-20 20:20:56.974672759
705,2023-01-20 21:01:32.851057237
706,2023-01-20 21:42:08.727441716
707,2023-01-20 22:22:44.603826194
708,2023-01-20 23:03:20.480210673
709,2023-01-20 23:43:56.356595151
710,2023-01-21 00:24:32.232979629
711,2023-01-21 01:05:08.109364108
712,2023-01-21 01:45:43.985748586
713,2023-01-21 02:26:19.862133064
714,2023-01-21 03:06:55.738517543
715,2023-01-21 03:47:31.614902021
716,2023-01-21 04:28:07.491286499
717,2023-01-21 05:08:43.367670978
718,2023-01-21 05:49:19.244055456
719,2023-01-21 06:29:55.120439934
720,2023-01-21 07:10:30.996824413
721,2023-01-21 07:51:06.873208891
722,2023-01-21 08:31:42.749593369
723,2023-01-21 09:12:18.625977848
724,2023-01-21 09:52:54.502362326
725,2023-01-21 10:33:30.378746805
726,2023-01-21 11:14:06.255131283
727,2023-01-21 11:54:42.131515761
728,2023-01-21 12:35:18.007900240
729,2023-01-21 13:15:53.884284718
730,2023-01-21 13:56:29.760669196
731,2023-01-21 14:37:05.637053675
732,2023-01-21 15:17:41.513438153
733,2023-01-21 15:58:17.389822631
734,2023-01-21 16:38:53.266207110
735,2023-01-21 17:19:29.142591588
