,registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,city,insurance,transmission_type,owner_type,fuel_type,body_type
48,2014,1591,100000,120.0,5.0,16.0,4.0,53,4.2835,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
49,2011,1991,80000,150.0,5.0,18.0,2.5,54,2.6043000000000007,Delhi,Third Party insurance,Manual,Second Owner,Diesel,Sedan
50,2011,1497,63000,120.0,5.0,16.0,2.95,55,3.076399999999996,Mumbai,Comprehensive,Automatic,Second Owner,Petrol,Sedan
51,2018,1999,51620,180.0,5.0,16.0,34.0,56,36.9635,Kolkata,Third Party,Automatic,Second Owner,Diesel,SUV
52,2011,998,60014,70.0,5.0,18.0,2.75,57,2.4793000000000003,Chennai,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
53,2014,1498,90000,100.0,7.0,24.0,5.5,58,5.4198,Ahmedabad,Comprehensive,Manual,First Owner,Diesel,MUV
54,2020,2199,42885,200.0,7.0,14.0,29.75,59,30.0651,Bangalore,Zero Dep,Automatic,First Owner,Diesel,MUV
55,2021,1199,38323,120.0,5.0,16.0,10.25,60,10.589999999999996,Jaipur,Comprehensive,Automatic,First Owner,Petrol,SUV
56,2012,1197,70000,80.0,5.0,20.0,2.75,61,2.5913999999999997,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
57,2021,796,10000,50.0,5.0,22.0,3.9,62,3.9514999999999953,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
58,2011,1598,120000,100.0,5.0,16.0,2.5,63,2.6791,Mumbai,Third Party insurance,Manual,Second Owner,Petrol,Sedan
59,2012,1591,120000,120.0,5.0,18.0,3.4,64,3.6038999999999977,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Sedan
60,2015,1497,41585,120.0,5.0,18.0,5.94,65,5.959200000000002,Mumbai,Comprehensive,Manual,First Owner,Petrol,Sedan
61,2014,998,80000,70.0,5.0,24.0,2.5,66,2.811099999999999,Chandigarh,Third Party insurance,Automatic,Fifth Owner,Petrol,Hatchback
62,2021,999,20537,70.0,5.0,20.0,6.43,67,6.4506000000000006,Ahmedabad,Third Party,Manual,Second Owner,Petrol,SUV
63,2018,1194,54813,90.0,5.0,20.0,5.77,68,5.7279999999999935,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback
64,2021,998,30000,120.0,5.0,18.0,10.2,69,10.03660000000001,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,SUV
65,2014,1198,64000,90.0,5.0,18.0,3.3,70,3.4835000000000043,Ahmedabad,Third Party insurance,Manual,Second Owner,Petrol,Sedan
66,2009,1248,120000,80.0,5.0,18.0,2.5,71,2.3754934000000008,Hyderabad,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
67,2016,1497,70000,120.0,5.0,18.0,6.6,72,6.519500000000006,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
68,2021,998,6000,120.0,5.0,20.0,8.75,73,9.244599999999998,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback
69,2019,1498,60000,100.0,5.0,26.0,5.9,74,6.852599999999992,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,Sedan
70,2018,1197,74325,80.0,5.0,22.0,6.7,75,6.258100000000001,Pune,Comprehensive,Manual,First Owner,Petrol,Hatchback
71,2017,1582,110000,130.0,5.0,20.0,8.5,76,8.998199999999999,Chennai,Third Party insurance,Manual,First Owner,Diesel,SUV
72,2013,1199,80000,70.0,5.0,22.0,3.4,78,3.28,Delhi,Third Party insurance,Manual,First Owner,Diesel,Hatchback
73,2012,998,71713,60.0,5.0,26.0,2.43,79,2.445000000000004,Gurgaon,Comprehensive,Manual,First Owner,CNG,Hatchback
74,2010,1198,100000,80.0,5.0,18.0,1.05,80,1.3662999999999987,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
75,2015,1197,62223,90.0,5.0,22.0,5.06,82,5.124899999999999,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback
76,2018,1497,109357,110.0,5.0,22.0,8.42,83,8.200899999999992,Mumbai,Comprehensive,Automatic,First Owner,Diesel,SUV
77,2021,999,24317,70.0,7.0,20.0,7.0,84,7.085699999999999,Bangalore,Not Available,Manual,First Owner,Petrol,MUV
78,2017,1197,54024,80.0,5.0,22.0,5.75,85,5.877099999999998,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback
79,2014,1197,42776,90.0,5.0,22.0,4.64,86,4.486999999999995,Ahmedabad,Comprehensive,Manual,First Owner,Petrol,Sedan
80,2022,998,1962,60.0,5.0,34.0,5.58,87,5.779399999999998,Chandigarh,Comprehensive,Manual,First Owner,CNG,Hatchback
81,2014,1462,18866,100.0,7.0,20.0,6.47,88,7.64520000000001,Gurgaon,Comprehensive,Manual,First Owner,Petrol,MUV
82,2017,1497,60000,120.0,5.0,18.0,7.25,89,7.6474,Chennai,Third Party insurance,Manual,First Owner,Petrol,Sedan
83,2019,796,88667,50.0,5.0,32.0,3.9,90,3.902599999999997,Mumbai,Comprehensive,Manual,First Owner,CNG,Hatchback
84,2018,2393,50000,150.0,7.0,14.0,20.5,91,19.37,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,MUV
85,2021,999,31754,70.0,5.0,22.0,4.73,92,4.714500000000005,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback
86,2013,2179,70000,190.0,5.0,16.0,17.5,93,17.1705,Hyderabad,Third Party insurance,Automatic,First Owner,Diesel,Sedan
87,2019,1497,30000,120.0,5.0,18.0,10.25,94,10.0056,Delhi,Comprehensive,Automatic,First Owner,Petrol,Sedan
88,2014,1498,60000,100.0,5.0,26.0,3.2,95,3.8587999999999942,Delhi,Third Party insurance,Manual,First Owner,Diesel,Sedan
89,2020,1497,66590,120.0,8.0,18.0,11.0,96,10.9715,Hyderabad,Comprehensive,Manual,First Owner,Diesel,MUV
90,2019,1198,23394,110.0,5.0,16.0,9.17,97,9.400899999999986,Gurgaon,Third Party,Automatic,First Owner,Petrol,SUV
91,2019,1197,51193,80.0,5.0,22.0,5.38,98,5.443599999999996,Chandigarh,Third Party insurance,Manual,First Owner,Petrol,Hatchback
92,2013,1197,92285,90.0,5.0,18.0,4.31,99,4.0729000000000015,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
93,2014,1198,96966,70.0,5.0,16.0,2.45,100,2.8568999999999978,Lucknow,Not Available,Manual,First Owner,Petrol,Hatchback
94,2010,1298,62259,90.0,5.0,18.0,2.31,101,2.1357000000000013,Mumbai,Third Party,Manual,Second Owner,Petrol,Sedan
95,2017,1199,29594,80.0,5.0,24.0,4.98,102,5.163400000000005,Chennai,Comprehensive,Automatic,First Owner,Petrol,Hatchback
96,2011,1799,70000,130.0,5.0,14.0,3.5,103,3.2140999999999997,Delhi,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
97,2017,1197,31600,80.0,5.0,18.0,4.65,104,4.790299999999995,Gurgaon,Comprehensive,Manual,First Owner,Petrol,Hatchback
98,2019,1498,42354,100.0,5.0,24.0,9.52,105,9.035799999999991,Pune,Third Party,Manual,First Owner,Diesel,SUV
99,2017,1199,60000,80.0,5.0,20.0,4.5,106,4.658799999999999,Pune,Third Party insurance,Manual,Second Owner,Petrol,Sedan
100,2019,2179,30000,150.0,7.0,16.0,16.0,107,15.725400000000002,Gurgaon,Third Party insurance,Automatic,First Owner,Diesel,SUV
101,2014,1248,79000,70.0,5.0,22.0,4.8,108,4.498600000000005,Mumbai,Comprehensive,Manual,Second Owner,Diesel,Hatchback
102,2016,998,27887,70.0,5.0,24.0,5.0,109,4.752,Pune,Comprehensive,Automatic,First Owner,Petrol,Hatchback
103,2015,1248,80000,70.0,5.0,24.0,2.0,110,3.0518,Chennai,Third Party insurance,Manual,Third Owner,Diesel,Hatchback
104,2017,1248,65275,90.0,5.0,24.0,6.92,111,7.0697999999999945,Mumbai,Comprehensive,Manual,Second Owner,Diesel,SUV
105,2019,2393,50000,150.0,7.0,14.0,17.0,112,17.539800000000003,Delhi,Third Party insurance,Manual,First Owner,Diesel,MUV
106,2018,1199,29640,90.0,5.0,18.0,7.6,113,7.41480000000001,Chennai,Third Party insurance,Manual,First Owner,Petrol,SUV
107,2012,1396,86873,90.0,5.0,22.0,4.85,114,4.293500000000003,Bangalore,Third Party insurance,Manual,First Owner,Diesel,Hatchback
108,2018,998,79000,70.0,5.0,24.0,3.49,115,3.760700000000005,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
109,2019,1198,30000,110.0,5.0,16.0,7.1,116,7.71310000000001,Jaipur,Third Party insurance,Manual,First Owner,Petrol,SUV
110,2011,1086,49500,70.0,5.0,20.0,2.45,117,2.409499999999997,Hyderabad,Not Available,Manual,First Owner,Petrol,Hatchback
111,2021,998,20000,60.0,5.0,32.0,5.5,119,5.5707,Gurgaon,Third Party insurance,Manual,First Owner,CNG,Hatchback
112,2013,1995,39000,180.0,5.0,18.0,11.0,120,11.0263,Kolkata,Comprehensive,Automatic,First Owner,Diesel,Sedan
113,2019,999,45000,110.0,5.0,18.0,6.99,121,7.293000000000003,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
114,2019,998,68678,70.0,5.0,34.0,5.34,122,5.1658999999999935,Delhi,Third Party,Manual,First Owner,CNG,Hatchback
115,2019,1999,30000,150.0,5.0,12.0,17.0,123,17.9337,Ahmedabad,Third Party insurance,Automatic,First Owner,Petrol,SUV
116,2018,1197,32647,80.0,5.0,22.0,7.45,124,7.244100000000006,Mumbai,Comprehensive,Automatic,First Owner,Petrol,Hatchback
117,2018,796,70000,50.0,5.0,24.0,2.8,125,3.312700000000003,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
118,2019,1462,60000,100.0,7.0,20.0,11.0,126,10.1443,Mumbai,Third Party insurance,Manual,First Owner,Petrol,MUV
119,2016,2179,90000,150.0,7.0,14.0,6.0,127,7.358099999999999,Jaipur,Third Party insurance,Manual,Second Owner,Diesel,SUV
120,2014,1995,90000,180.0,5.0,18.0,10.0,128,11.0888,Mumbai,Third Party insurance,Automatic,Fourth Owner,Diesel,Sedan
121,2016,1199,101386,80.0,5.0,24.0,3.64,129,4.0568999999999935,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
122,2010,1197,120000,80.0,5.0,16.0,3.4,130,2.7860000000000014,Pune,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
123,2021,1199,7662,120.0,5.0,16.0,12.17,132,11.799699999999998,Bangalore,Zero Dep,Automatic,First Owner,Petrol,SUV
124,2018,1197,29084,80.0,5.0,18.0,6.6,133,6.466700000000007,Hyderabad,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
125,2019,1197,42090,80.0,5.0,18.0,5.74,134,6.002500000000003,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback
126,2018,1197,69553,90.0,5.0,22.0,5.96,135,5.822999999999999,Chandigarh,Third Party,Manual,First Owner,Petrol,Hatchback
127,2019,1197,47844,80.0,5.0,20.0,5.12,136,5.867000000000003,Hyderabad,Zero Dep,Automatic,Second Owner,Petrol,Hatchback
128,2010,998,61633,70.0,5.0,20.0,1.95,137,2.148699999999998,Chennai,Comprehensive,Manual,Second Owner,Petrol,Hatchback
129,2018,2498,32000,100.0,6.0,16.0,9.75,138,9.265100000000004,Bangalore,Comprehensive,Manual,Second Owner,Diesel,SUV
130,2019,1197,64891,80.0,5.0,22.0,5.64,139,5.708299999999992,Jaipur,Third Party,Manual,Second Owner,Petrol,Hatchback
131,2013,796,80000,50.0,5.0,22.0,2.1,140,2.0793999999999984,Agra,Third Party insurance,Manual,First Owner,Petrol,Hatchback
132,2014,1498,100578,90.0,5.0,20.0,6.4,141,5.909599999999994,Bangalore,Third Party,Manual,Second Owner,Diesel,Hatchback
133,2012,998,54007,70.0,5.0,20.0,2.65,142,2.807600000000001,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
134,2016,1497,46275,120.0,5.0,18.0,7.23,143,7.095000000000007,Bangalore,Comprehensive,Manual,First Owner,Petrol,Sedan
135,2023,1451,10000,140.0,5.0,14.0,19.5,144,18.8746,Bangalore,Third Party insurance,Manual,First Owner,Petrol,SUV
136,2012,1197,52300,80.0,5.0,20.0,2.35,145,2.555199999999997,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
137,2012,1197,64302,90.0,5.0,22.0,3.99,146,4.142200000000003,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Sedan
138,2014,814,74318,60.0,5.0,22.0,2.0,148,2.0738000000000008,Lucknow,Third Party,Manual,First Owner,Petrol,Hatchback
139,2017,1798,100000,180.0,5.0,16.0,9.2,149,11.039100000000014,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,Sedan
140,2018,2179,18000,150.0,7.0,16.0,15.95,150,16.032500000000017,Mumbai,Zero Dep,Automatic,First Owner,Diesel,SUV
141,2017,1396,116263,90.0,5.0,22.0,5.65,151,6.0119999999999925,Ahmedabad,Comprehensive,Manual,Third Owner,Diesel,Hatchback
142,2021,999,20000,110.0,5.0,18.0,9.5,152,9.6916,Agra,Third Party insurance,Manual,First Owner,Petrol,Sedan
143,2015,1197,93000,80.0,5.0,18.0,6.25,153,5.893,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
144,2018,1197,64059,100.0,5.0,18.0,7.38,154,7.458899999999999,Delhi,Comprehensive,Automatic,First Owner,Petrol,Hatchback
145,2010,1199,89748,80.0,5.0,18.0,1.18,155,1.4805000000000024,Jaipur,Not Available,Manual,Fourth Owner,Petrol,Hatchback
146,2008,1086,164359,60.0,5.0,18.0,0.75635,156,0.9423208999999988,Jaipur,Not Available,Manual,Third Owner,Petrol,Hatchback
147,2017,1248,70000,70.0,5.0,26.0,5.0,157,5.047600000000001,Delhi,Third Party insurance,Manual,First Owner,Diesel,Hatchback
148,2012,796,63697,50.0,5.0,20.0,2.35,158,2.3516999999999983,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback
149,2016,1248,79221,90.0,5.0,24.0,8.13,159,7.743699999999999,Pune,Zero Dep,Manual,First Owner,Diesel,SUV
150,2009,995,80000,60.0,5.0,16.0,1.2,160,1.1773000000000011,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
151,2023,1498,18000,150.0,5.0,18.0,16.85,161,20.01299999999998,Kolkata,Comprehensive,Automatic,First Owner,Petrol,Sedan
152,2015,998,57521,70.0,5.0,26.0,4.54,162,4.574600000000007,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
153,2019,1591,40000,120.0,5.0,16.0,13.2,163,11.753100000000012,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,SUV
154,2008,998,60000,70.0,5.0,22.0,1.7,164,1.6420999999999994,Pune,Third Party insurance,Manual,First Owner,Petrol,Hatchback
155,2011,1995,80000,180.0,5.0,18.0,9.5,165,10.056,Hyderabad,Third Party insurance,Automatic,Second Owner,Diesel,SUV
156,2018,1199,12724,90.0,5.0,18.0,7.1,166,7.05330000000001,Gurgaon,Zero Dep,Manual,Second Owner,Petrol,SUV
157,2017,1591,15504,120.0,5.0,18.0,7.81,167,8.279499999999988,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,Sedan
158,2014,1968,27277,140.0,5.0,20.0,11.15,168,12.444800000000008,Chandigarh,Not Available,Automatic,First Owner,Diesel,Sedan
159,2021,1199,2024,80.0,5.0,20.0,8.13,169,7.949299999999997,Bangalore,Third Party insurance,Automatic,First Owner,Petrol,Sedan
160,2019,1197,37610,80.0,5.0,18.0,6.72,170,6.77460000000001,Ahmedabad,Zero Dep,Automatic,First Owner,Petrol,Sedan
161,2014,1497,37609,120.0,5.0,18.0,5.0,171,5.3094,Mumbai,Third Party,Manual,First Owner,Petrol,Sedan
162,2016,2982,90000,170.0,7.0,12.0,16.4,172,17.69320000000002,Kolkata,Third Party insurance,Automatic,First Owner,Diesel,SUV
163,2012,1198,120000,80.0,5.0,18.0,2.1,173,2.302199999999998,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
164,2022,998,20000,60.0,5.0,34.0,5.5,174,5.5915,Delhi,Comprehensive,Manual,First Owner,CNG,Hatchback
165,2017,1995,55000,190.0,5.0,18.0,26.5,175,28.8735,Chennai,Comprehensive,Automatic,Second Owner,Diesel,SUV
166,2015,1197,46988,80.0,5.0,18.0,4.83,176,4.994699999999996,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
167,2021,796,20000,50.0,5.0,22.0,3.7,177,3.8782999999999954,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
168,2019,1798,67896,180.0,5.0,16.0,15.08,178,15.836499999999988,Jaipur,Third Party insurance,Automatic,First Owner,Petrol,Sedan
169,2020,1493,17662,110.0,5.0,20.0,13.21,179,13.620000000000012,Pune,Zero Dep,Manual,First Owner,Diesel,SUV
170,2020,1199,15874,80.0,5.0,20.0,4.75,180,5.1983,Kolkata,Third Party,Manual,First Owner,Petrol,Hatchback
171,2014,1120,70000,70.0,5.0,24.0,3.6,181,3.399300000000001,Delhi,Third Party insurance,Manual,First Owner,Diesel,Hatchback
172,2012,1995,80000,180.0,5.0,18.0,10.0,182,10.05,Pune,Third Party insurance,Automatic,Fourth Owner,Diesel,Sedan
173,2019,1798,54000,180.0,5.0,14.0,18.5,183,18.768600000000003,Kolkata,Third Party,Automatic,First Owner,Petrol,Sedan
174,2021,799,10000,50.0,5.0,22.0,4.45,184,4.320299999999994,Jaipur,Third Party insurance,Manual,First Owner,Petrol,Hatchback
175,2015,1497,65253,120.0,5.0,18.0,6.39,185,6.169299999999995,Pune,Third Party,Manual,First Owner,Petrol,Sedan
176,2010,1196,50000,70.0,7.0,16.0,1.75,187,1.9819,Kolkata,Third Party insurance,Manual,Third Owner,Petrol,Minivans
177,2010,1197,80000,80.0,5.0,16.0,3.0,188,2.6804,Ahmedabad,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
178,2012,1197,78249,90.0,5.0,22.0,4.21,189,3.9851999999999976,Bangalore,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
179,2012,1198,53300,90.0,5.0,20.0,2.49,190,2.640900000000004,Pune,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
180,2013,2477,100000,180.0,7.0,14.0,7.95,191,8.976900000000006,Pune,Third Party insurance,Manual,Second Owner,Diesel,SUV
181,2012,998,65000,70.0,5.0,22.0,2.1,192,2.242899999999998,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
182,2021,1086,5482,70.0,5.0,20.0,6.39,193,6.244999999999992,Delhi,Third Party,Automatic,First Owner,Petrol,Hatchback
183,2017,1591,45364,120.0,5.0,18.0,8.67,194,8.516799999999991,Ahmedabad,Comprehensive,Manual,Second Owner,Petrol,Sedan
184,2016,1197,53000,80.0,5.0,18.0,3.99,195,4.176200000000003,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
185,2009,995,60000,60.0,5.0,18.0,0.5,196,0.6398988000000001,Agra,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
186,2017,1197,51181,80.0,5.0,18.0,6.39,197,6.288699999999992,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback
187,2017,1498,64898,100.0,7.0,22.0,6.39,198,6.612399999999995,Ahmedabad,Third Party insurance,Manual,First Owner,Diesel,SUV
188,2017,1396,70000,90.0,5.0,22.0,7.95,200,7.688600000000007,Delhi,Comprehensive,Manual,First Owner,Diesel,SUV
189,2017,1248,36496,70.0,5.0,26.0,6.64,201,6.591699999999992,Bangalore,Zero Dep,Manual,First Owner,Diesel,Hatchback
190,2016,1197,43000,80.0,5.0,22.0,4.8,202,4.903000000000005,Jaipur,Third Party insurance,Manual,First Owner,Petrol,Hatchback
191,2018,1248,99367,70.0,5.0,28.0,7.15,203,6.864599999999992,Jaipur,Third Party,Manual,First Owner,Diesel,Sedan
192,2017,1197,48197,80.0,5.0,20.0,6.45,204,6.337300000000004,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
193,2017,1582,76089,130.0,5.0,22.0,9.32,205,9.325200000000017,Chennai,Third Party,Automatic,First Owner,Diesel,Sedan
194,2017,1197,50000,80.0,5.0,18.0,6.0,207,6.113999999999995,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback
195,2018,1248,50669,90.0,5.0,24.0,5.62,208,6.510100000000002,Ahmedabad,Third Party insurance,Manual,First Owner,Diesel,SUV
196,2012,1985,109000,160.0,5.0,14.0,10.15,209,8.91859999999999,Hyderabad,Third Party insurance,Automatic,First Owner,Diesel,SUV
197,2016,998,85246,60.0,5.0,26.0,3.57,210,3.707999999999998,Pune,Comprehensive,Manual,First Owner,CNG,Hatchback
198,2021,1493,12879,110.0,6.0,18.0,18.0,211,17.8621,Pune,Not Available,Automatic,First Owner,Diesel,SUV
199,2013,1968,73000,170.0,5.0,18.0,13.9,212,14.023700000000009,Chennai,Comprehensive,Automatic,Second Owner,Diesel,Sedan
